plan.name,COVID.Funded through this plan,COVID.Unmet requirements,COVID.Total requirements,Non-COVID.Funded through this plan,Non-COVID.Unmet requirements,Non-COVID.Total requirements,COVID_funding_level,Non-COVID_funding_level
COVID-19 Global Humanitarian Response Plan,3727232202,5774053784,9501285986,0,0,0,0.392287129078318,
Djibouti,4953591,25029825,29983416,3698247,10553649,14251896,0.165211028656641,0.259491579225669
Lebanon,98974694,37525306,136500000,161092385,2389210336,2550302721,0.725089333333333,0.0631659856194774
Lesotho,0,0,0,13733857,20011143,33745000,,0.406989391020892
Afghanistan,181420975,214268200,395689175,377330102,358031543,735361645,0.45849365224611,0.513121815049247
Burkina Faso,50949036,54981450,105930486,199640843,118786532,318427375,0.480966697349052,0.626958793979318
Burundi,12197685,59247315,71445000,87505200,90264240,177769440,0.170728322485828,0.492239836048311
Cameroon,54070727,27660401,81731128,144388574,225771626,370160200,0.661568343948465,0.390070499205479
CAR,77863349,74948941,152812290,287643723,113166277,400810000,0.509535908401085,0.717656053990669
Chad,58581068,65602489,124183557,236690720,319488870,556179590,0.471729667076616,0.425565274698412
Colombia,36179928,247740719,283920647,26918849,921991144,948909993,0.127429718064851,0.0283681794886525
DRC,115938287,158559388,274497675,723855572,1148792751,1872648323,0.422365278685876,0.386541115653994
Ethiopia,94115089,238576453,332691542,667912205,625118301,1293030506,0.282889935927496,0.516547909659295
Haiti,27706752,116672681,144379433,128030668,199582934,327613602,0.191902346645176,0.390797778902965
Iraq,105577802,159208920,264786722,548729921,293662566,842392487,0.398727705084849,0.651394604614986
Libya,39185627,7471670,46657297,78000257,5188451,83188708,0.839860633160982,0.937630345214641
Mali,45683290,29727644,75410934,180328186,218553060,398881246,0.605791329941624,0.452084894460042
Myanmar,40937631,17862369,58800000,145826929,70673071,216500000,0.696218214285714,0.673565491916859
Niger,68076528,14241507,82318035,268447079,269309843,537756922,0.826994084589118,0.499197812278463
Nigeria,66057994,176390272,242448266,489385948,348612399,837998347,0.272462224992774,0.583993930002347
oPt,63305704,9099906,72405610,198461400,149514674,347976074,0.874320429038579,0.570330591177369
Somalia,86609320,138995346,225604666,740519079,43802782,784321861,0.383898620252828,0.944152032248404
South Sudan,103291797,279736197,383027994,984207774,533564196,1517771970,0.26967166530392,0.648455626703924
Sudan,106054111,177492214,283546325,926581282,783681639,1710262921,0.374027457418113,0.541777097908562
Syria,183938678,200216262,384154940,1947493365,1485884527,3433377892,0.478813777586721,0.567223715611902
Ukraine,38913921,7987388,46901309,84969108,72782817,157751925,0.829697972822038,0.538624856717279
Venezuela,44717967,43166698,87884665,118197551,556427147,674624698,0.508825595455134,0.175204897405046
Yemen,262349328,123332375,385681703,1630075374,1366924626,2.997e+09,0.680222385348677,0.54390236036036
Zimbabwe,33272252,51722077,84994329,178824092,536952512,715776604,0.391464376405631,0.249832267498925
Bangladesh,118656022,268710312,387366334,555995600,320665622,876661222,0.306314750625696,0.634219452220735
Benin,3346554,14583446,17930000,0,0,0,0.186645510317903,
Cabo Delgado Province Mozambique,0,0,0,45603088,0,45603088,,1
Congo,1679525,10309599,11989124,3349396,12070880,15420276,0.140087382531034,0.217207266588484
DPRK,3501684,36190478,39692162,29689926,77310074,1.07e+08,0.0882210447493387,0.277475943925234
Ecuador,19852674,26572326,46425000,0,199347146,199347146,0.427628949919225,0
Iran,73683852,43600829,117284681,0,0,0,0.628247878339713,
Jordan,18604280,34241451,52845731,0,1475421995,1475421995,0.352048872216376,0
Kenya,62092806,192777878,254870684,30351444,75695755,106047199,0.24362474736404,0.286206936969641
Liberia,7507918,49492082,5.7e+07,0,0,0,0.131717859649123,
Mozambique,60046064,8058936,68105000,0,0,0,0.881668952352984,
Pakistan,88488297,57300581,145788878,0,0,0,0.606961917904327,
Philippines,20562507,101204837,121767344,0,0,0,0.168867171809217,
Sierra Leone,20093035,42814690,62907725,0,0,0,0.319404890257913,
Tanzania,19017877,139856228,158874105,86852035,172026695,258878730,0.119704070087444,0.335493128384862
Togo,5190103,14567431,19757534,0,0,0,0.262689817464062,
Uganda,27639808,172517319,200157127,202185342,646860469,849045811,0.138090551229785,0.238132429817736
Zambia,13196362,112416566,125612928,38385350,125984278,164369628,0.105055763050122,0.233530673927181
Burundi Regional,7521464,57909281,65430745,39224662,162932075,202156737,0.114953054561735,0.19403094144718
DRC Regional,12131905,143539715,155671620,28568630,403147687,431716317,0.0779326700653594,0.0661745430391041
Horn of Africa and Yemen ,250000,31272013,31522013,14615390,0,14615390,0.00793096557634184,1
South Sudan Regional,21908345,106879037,128787382,81500952,811990402,893491354,0.170112511488121,0.0912162738174633
Syria Regional,93489871,664815267,758305138,2132625984,3105044638,5237670622,0.123287930300164,0.407170694362155
Venezuela Regional,92864746,345942841,438807587,568993113,399779467,968772580,0.211629763821745,0.587334039739234
Regional,0,0,0,2232685884,-1912476889,320208995,,6.97258952391391
Rwanda,0,0,0,34957304,116191989,151149293,,0.2312766623394
Angola,0,0,0,9865725,19547286,29413011,,0.335420436894407
South Africa,0,0,0,315743,-315743,0,,Inf
Egypt,0,0,0,0,169085254,169085254,,0
