transaction_date,development,humanitarian_in_FTS,humanitarian_in_IATI,humanitarian
2017-05-01,0,0,0,2475840
2017-05-19,0,0,0,4294972
2017-11-14,0,0,0,5811962
2017-11-17,0,0,0,5817398
2017-11-21,0,0,0,5990249
2017-12-12,0,0,0,6049491
2018-02-01,0,0,0,7252417
2018-03-13,0,0,0,7306706
2018-03-28,0,0,0,8460800
2018-04-20,0,0,0,8707714
2018-05-26,0,0,0,10707714
2018-06-22,0,0,0,10823858
2018-07-13,0,0,0,12907191
2018-07-25,0,0,0,13138672
2018-08-01,0,0,0,15638672
2018-08-24,0,0,0,16095815
2018-09-26,0,0,0,16298177
2018-12-10,0,0,0,17805336
2018-12-12,0,0,0,17871320
2018-12-17,0,0,0,17877008
2019-01-01,0,0,0,18152036
2019-02-07,0,0,0,19293589
2019-03-07,0,0,0,19299277
2019-03-19,0,0,0,19794524
2019-03-20,0,0,0,20022055
2019-03-21,0,0,0,25322300
2019-03-25,0,0,0,25893972
2019-04-01,0,0,0,26245338
2019-04-04,0,0,0,26469805
2019-04-09,0,0,0,26767818
2019-04-11,0,0,0,27414535
2019-04-12,0,0,0,27549215
2019-04-17,0,0,0,27742864
2019-04-18,0,0,0,28397886
2019-04-25,0,0,0,28876346
2019-04-28,0,0,0,29017944
2019-04-29,0,0,0,29130177
2019-04-30,0,0,0,29464633
2019-05-02,0,0,0,29531523
2019-05-03,0,0,0,30063395
2019-05-08,0,0,0,30119136
2019-05-10,0,0,0,30229511
2019-05-13,0,0,0,30238582
2019-05-14,0,0,0,31018960
2019-05-23,0,0,0,31214055
2019-05-28,0,0,0,32929582
2019-05-29,0,0,0,33151069
2019-06-07,0,0,0,33184182
2019-06-11,0,0,0,33536490
2019-06-14,0,0,0,35829444
2019-06-17,0,0,0,36184894
2019-06-19,0,0,0,36796685
2019-06-20,0,0,0,41226162
2019-06-21,0,0,0,41229499
2019-06-25,0,0,0,41229499
2019-06-26,0,0,0,44010367
2019-06-27,0,0,0,44237898
2019-07-02,0,0,0,45778182
2019-07-10,0,0,0,45893675
2019-07-15,0,0,0,45926426
2019-07-16,0,0,0,46608890
2019-07-17,0,0,0,46667890
2019-07-25,0,0,0,47199827
2019-07-29,0,0,0,47233918
2019-07-30,0,0,0,47354737
2019-08-05,0,0,0,48242374
2019-08-06,0,0,0,49072299
2019-08-13,0,0,0,52879406
2019-08-14,0,0,0,54774612
2019-08-28,0,0,0,55126770
2019-09-30,0,0,0,55371015
2019-10-01,0,0,0,55586047
2019-10-16,0,0,0,55804865
2019-10-18,0,0,0,57471863
2019-11-01,0,0,0,57564863
2019-11-11,0,0,0,57586578
2019-11-21,0,0,0,57632066
2019-11-27,0,0,0,58187622
2019-11-30,0,0,0,59112622
2019-12-11,0,0,0,59212622
2019-12-12,0,0,0,62002162
2019-12-16,0,0,0,62442206
2019-12-17,0,0,0,63454307
2019-12-18,0,0,0,64926844
2019-12-19,0,0,0,64983542
2020-01-01,0,0,0,74594101
2020-01-05,0,0,0,75044101
2020-01-07,117889200,0,0,75209485
2020-01-08,117889200,0,0,75279150
2020-01-09,117967979.38,0,0,75739150
2020-01-10,118174670.36,0,0,75739150
2020-01-13,118920956.628,0,0,163262327
2020-01-14,119381876.0116,0,0,163262327
2020-01-15,135962932.4516,2583128.56428,0,163262327
2020-01-16,140025641.708772,4738591.660354,2427.585552,163262327
2020-01-17,152038617.373436,5289463.539856,2427.585552,163262327
2020-01-20,152135017.045804,5461610.057312,2427.585552,163262327
2020-01-21,163103703.746204,5804326.505968,2427.585552,163262327
2020-01-22,166273951.613704,5851330.996333,2427.585552,163262327
2020-01-24,204679256.920904,5851330.996333,2427.585552,163688288
2020-01-27,212667533.546064,5851330.996333,2427.585552,163688288
2020-01-28,363739616.716904,5851330.996333,2427.585552,163688288
2020-01-29,367851714.379512,6074017.205701,2427.585552,163688288
2020-01-31,532752115.613912,6151591.205701,-5933704.414448,164432886
2020-02-01,532752115.613912,6151591.205701,-2661970.55909135,170870734
2020-02-03,663740115.613912,6151591.205701,-2661970.55909135,177322347
2020-02-04,663813620.563912,6151591.205701,-2139886.23089135,177322347
2020-02-05,663902681.115912,6151591.205701,-2139886.23089135,177322347
2020-02-06,727366673.194312,6186724.005701,-2139886.23089135,177322347
2020-02-07,727366673.194312,6186724.005701,-2139886.23089135,177642661
2020-02-10,733299834.194312,6219422.414313,-1263372.41849453,179583153
2020-02-11,740146934.194312,6219422.414313,-1263372.41849453,179583153
2020-02-12,741081552.505012,6219422.414313,-1263372.41849453,179583153
2020-02-13,742240998.670256,6219422.414313,-1263372.41849453,179660920
2020-02-14,744105784.670156,6219422.414313,-1263372.41849453,179796587
2020-02-17,749840313.430688,6279986.414313,-1263372.41849453,179796587
2020-02-18,750061080.605888,6279986.414313,-1263372.41849453,185872297
2020-02-19,752442680.605888,6279986.414313,-1263372.41849453,221153443
