FTS_name,commitment,paid,pledge
,-260515604,-16638632,-42298619
ACT Alliance / DanChurchAid,-2892017,15000,0
ACT Alliance / Diakonie Katastrophenhilfe,18167,0,0
ACT Alliance / Interchurch Organisation for Development Co-operation,0,304017,0
ACT Alliance / Lutheran World Relief,0,346827,0
ACT Alliance / Norwegian Church Aid,-939258,-2312493,0
AGIR Foundation,0,58754,0
Action Contre la Faim,-5453686,-7742169,0
ActionAid International,-671078,-34357,0
Afghanistan Humanitarian Fund,670472,33010588,0
African Development Bank,12129882,23569245,0
Algeria,0,0,0
Alwaleed Foundation,5000000,0,5000000
Asian Development Bank,999735,39849985,0
Australia,25481964,26795746,0
Austria,3086123,3793075,0
Azerbaijan,10000000,0,0
BCIE,1553490,0,0
Bangladesh,50000,6413207,0
Belgium,18649935,1407136,0
Belize,11221,0,0
Big Heart Foundation,0,400000,0
Bill and Melinda Gates Foundation,16415084,0,0
Bulgaria,111982,76903,0
CARITAS,-2178392,-320007,0
COVID-19 Humanitarian Thematic Fund,0,16060834,0
Cameroon,0,1634718,0
Canada,20482094,114740100,0
Caribbean Development Bank,58155,0,0
Caritas Australia,0,75000,0
Caritas Germany (DCV),-1485233,53544,0
Catholic Agency for Overseas Development,0,-668769,0
Catholic Agency for Overseas Development; Trocaire,0,18890,0
Catholic Organisation for Relief and Development Aid,0,-1045439,0
Centers for Disease Control and Prevention,12372703,0,0
Central African Republic Humanitarian Fund,4129948,8910760,0
Central Emergency Response Fund,103878999,111772754,0
Chad,0,22000000,0
ChildFund International,0,-127250,0
ChildFund Korea,0,50000,0
China,26440264,10100000,0
Clinton Health Access Initiative,243761,0,0
Corporacion andina de fomento,700934,0,0
Cote d'Ivoire,439351,0,0
Croatia,712589,0,661521
Crown Agents,0,100000,0
Cyprus,110375,0,0
Czech Republic,258176,937440,0
Democratic Republic of the Congo Humanitarian Fund,3780077,9915950,0
Denmark,71104892,44981192,0
Deutsche Gesellschaft für Internationale Zusammenarbeit,937245,0,0
Disaster Emergency Committee Coronavirus Appeal,0,-19509292,0
Dutch Relief Alliance,0,921769,0
East African Community Services,8518534,0,0
Education Cannot Wait Fund,983645,15299829,0
Estonia,136628,162866,0
Ethiopia Humanitarian Fund,350203,7383147,0
European Commission,84886371,37947927,35285476
European Commission - EU Facility for Refugees in Turkey,236397,0,0
European Commission EuropeAid Development and Cooperation,3300493,1603325,0
European Commission's Humanitarian Aid and Civil Protection Department,426210689,42292819,0
European Union trust fund Bekou in CAR,0,2369668,0
Finland,20571072,8162129,589609
Food & Agriculture Organization of the United Nations,-33689550,-24955871,0
France,26911911,9926136,0
GAVI Alliance,6436623,-11339500,-100000000
Gabon,587590,0,0
Germany,755265919,190676105,1724510
GlaxoSmithKline,0,346316,0
"Global Fund to Fight AIDS, Tuberculosis and Malaria",0,300000,0
Habitat for Humanity International,0,-147253,0
Haiti,0,2011676,0
Holy See,111720,35000,0
Iceland,148006,918556,0
Inter-American Development Bank,0,749847,0
International Organization for Migration,-109936618,-65307614,-1248570
International Rescue Committee,-36251405,-7803737,0
Iraq Humanitarian Fund,699000,8839825,0
